# Syllables word bank, source form. One word per line:
#
#     <band> <word split by hyphens, stressed syllable in CAPITALS>
#
# Example:  A ba-NA-na   ->  banana, syllables (ba, na, na), stress 1, band A
#
# scripts/build_syllables_bank.py turns this file into
# assets/words/syllables_bank.json, which the game loads. The build
# script validates every line: the chunks must join back to the
# spelling, every chunk must hold a vowel letter (the Year 1 rule
# AC9E1LY12: a syllable must contain a vowel sound), exactly one chunk
# carries the stress, 2 to 4 syllables, lower case a to z only, no
# duplicates. Any four-syllable word is forced to band C.
#
# Bands: A everyday words a young child meets daily, B words a child
# knows but meets less often, C rarer words and every four-syllable
# word.
#
# Splits follow spoken Australian pronunciation in the Macquarie
# convention, cut at the spelling boundary nearest the spoken one
# (rab-bit, not ra-bbit; ti-ger with the open first syllable). English
# syllable division in print is a convention, not a fact: Kearns
# (2020, Reading Research Quarterly) found the two taught rules fit
# 70.6 and 30.5 percent of applicable words. So the game never asks a
# child to place a boundary. It asks them to pick the chunk that was
# spoken, which is why one split per word is enough, and why the
# spoken syllable and the printed chunk have to agree exactly.
#
# PROVENANCE. Every line was written by hand for this project against
# ordinary Australian English usage. No word list, dictionary or
# corpus file was copied: not the Oxford Wordlist (copyright Oxford
# University Press, consulted as a reference idea only), not the
# Macquarie Dictionary (its splitting convention is a rule, not data),
# not SUBTLEX, cmudict or Moby Hyphenator. See LICENCE.txt beside this
# file, which also records the route to a larger bank built from those
# open sources if one is ever wanted.
#
# ADDING WORDS. Add the line to the right section, then run
#     python3 scripts/build_syllables_bank.py
# and commit this file and the regenerated JSON together.

# ---------------------------------------------------------------
# Two syllables
# ---------------------------------------------------------------
B MAG-pie
A MAN-go
A MAR-ble
A MAR-ket
B MAT-tress
A MEL-on
B MER-maid
A MES-sy
A MID-day
A MID-night
A MIL-lion
A MIN-ute
A MIR-ror
A MIT-tens
A MON-key
A MON-ster
A MOON-light
A MOR-ning
A MO-ther
A MO-tor
A MOUN-tain
A MUF-fin
B MUS-cle
A MUSH-room
A MU-sic
B MUS-tard
A NAP-kin
B NEE-dle
B NEPH-ew
A NINE-ty
A NOIS-y
A NOO-dles
C NUM-bat
A NUM-ber
A O-cean
A OF-fice
A ON-ion
A O-pen
A OR-ange
B OR-chard
C OS-trich
B OT-ter
A O-ven
B PAD-dock
A PAN-cake
A PAN-da
A PA-per
A PAR-rot
A PAS-ta
A PEA-nut
B PEB-ble
A PEN-cil
B PEN-guin
A PEP-per
B PET-rol
A PHO-to
A PIC-nic
A PIC-ture
A PIG-let
B PIL-lar
A PIL-low
B PI-rate
B PLAS-tic
A PLAY-ground
A POCK-et
B PO-ny
B POS-sum
A PRET-ty
A PROB-lem
A PUD-dle
C PUF-fin
A PUMP-kin
A PUP-pet
A PUP-py
A PUR-ple
A PUZ-zle
C PY-thon
A QUES-tion
A QUI-et
C QUOK-ka
A RAB-bit
A RAIN-bow
B RAI-sin
C RAS-cal
A RAT-tle
A READ-ing
C REIN-deer
A RIB-bon
A RIV-er
B RO-bin
A RO-bot
A ROCK-et
A ROOS-ter
A RUB-ber
A RU-ler
A RUN-ning
B SAD-dle
A SA-lad
B SAL-mon
A SAN-dals
A SAND-wich
A SAU-sage
C SCAR-let
A SCIS-sors
A SCOOT-er
B SEA-gull
A SEA-son
A SEC-ond
B SEED-ling
A SEV-en
B SHAD-ow
B sham-POO
B SHEL-ter
A SHOP-ping
A SHOUL-der
A SHOV-el
B SIG-nal
A SIL-ly
A SIL-ver
A SIS-ter
A SIT-ting
A SIX-ty
A SKATE-board
A SLEEP-ing
A SLEEP-y
A SLIP-pers
A SNEAK-ers
A SNOW-man
A SOC-cer
A SO-fa
A SOME-thing
B SPAR-row
A SPELL-ing
A SPI-der
B SPI-nach
A SPOON-ful
C SQUIR-rel
A STA-ble
A STAIR-case
B STAR-fish
A STA-tion
B STOR-my
A STO-ry
A SUD-den
A SU-gar
A SUM-mer
A SUN-set
A SUN-shine
A SUP-per
A SURF-board
A SWIM-ming
A TA-ble
A TAB-let
B TAD-pole
A TEA-cher
A TEA-pot
A TED-dy
A TEN-nis
A THIRS-ty
A THIR-ty
A THUN-der
A TICK-et
A TI-ger
A TI-dy
A TI-ny
B TIS-sue
B TOAST-er
A to-DAY
A to-NIGHT
A TOOTH-brush
A TOOTH-paste
C TOR-toise
A TOW-el
A TOW-er
B TRAC-tor
A TRAF-fic
B TRAIL-er
A TRAIN-er
B TREA-sure
A TROU-sers
B TRUM-pet
B TUN-nel
B TUR-key
A TUR-tle
A TWEN-ty
A UG-ly
A UN-cle
A USE-ful
B VEL-vet
B VIL-lage
B WA-gon
A WAL-nut
C WAL-rus
A WA-ter
A WEL-come
A WHIS-per
A WHIS-tle
A WIN-dow
A WIN-dy
A WIN-ter
C WIZ-ard
B WOM-bat
A YEL-low
A YO-ghurt
A YO-yo
A ZE-bra
B ZIG-zag
A ZIP-per

# ---------------------------------------------------------------
# Three syllables
# ---------------------------------------------------------------
B AC-ci-dent
C AC-ro-bat
B ad-VEN-ture
A AF-ter-noon
B AL-pha-bet
B AM-bu-lance
B AN-i-mal
A a-NO-ther
B AN-y-one
B AN-y-thing
B a-PART-ment
C AP-ri-cot
B as-SEM-bly
B AS-tro-naut
A ba-NA-na
C BAN-di-coot
B BAR-be-cue
A BAS-ket-ball
B BAT-ter-y
A BEAU-ti-ful
B be-GIN-ner
A BI-cy-cle
C BIL-la-bong
B BLUE-ber-ry
C BOO-me-rang
B BROC-co-li
C BUF-fa-lo
C BUM-ble-bee
A BUT-ter-fly
C BUT-ter-cup
B CAL-cu-late
B CAL-en-dar
B CAM-e-ra
B CAN-dle-stick
C CAN-non-ball
C CAP-si-cum
B CAR-a-mel
B CAR-a-van
C CAR-di-gan
C CAR-ni-val
B CAR-pen-ter
C CAT-a-pult
B CEL-e-brate
B CEL-e-ry
C CEN-ti-pede
C CHAR-ac-ter
B chim-pan-ZEE
B CHOC-o-late
C CIN-e-ma
C CIN-na-mon
B COCK-a-too
C COM-e-dy
B COM-pa-ny
A com-PU-ter
C CON-ti-nent
C CRAN-ber-ry
B CROC-o-dile
B CU-cum-ber
C CU-ri-ous
C CUS-tom-er
C DAF-fo-dil
B DAN-ger-ous
B DE-co-rate
B de-LI-cious
B DIF-fer-ent
A DI-no-saur
B dis-ap-PEAR
B dis-CO-ver
C DOM-i-no
B DRAG-on-fly
C e-CHID-na
A EL-e-phant
C EL-der-ly
C EM-er-ald
B EN-e-my
B en-gi-NEER
A EV-ery-one
A EV-ery-thing
C EV-er-green
B EX-cel-lent
B EX-er-cise
A FAM-i-ly
B fan-TAS-tic
B FA-vour-ite
C FES-ti-val
B FIRE-fight-er
C fla-MIN-go
B for-GET-ful
C FOR-tu-nate
B FUR-ni-ture
C GAL-ler-y
B GAR-den-er
C GEN-er-al
B GEN-tle-man
B GING-er-bread
B GLIT-ter-ing
B go-RIL-la
A GRAND-fa-ther
A GRAND-mo-ther
C GRAND-par-ent
C GRA-vi-ty
C gui-TAR-ist
B HAM-bur-ger
C HAM-mer-head
B HAP-pi-ness
C HAR-mo-ny
C HE-li-um
B HIS-to-ry
B HOL-i-day
C HON-es-ty
C ho-RI-zon
A HOS-pi-tal
C HUR-ri-cane
A im-POR-tant
B IN-stru-ment
B IN-ter-net
B IN-ter-view
B JEL-ly-fish
A kan-ga-ROO
C KER-o-sene
A ko-A-la
B LA-dy-bird
C LAV-en-der
B lem-on-ADE
A LI-bra-ry
C LI-quo-rice
C LOL-li-pop
C LUM-ber-jack
C MAC-a-roon
B MAG-a-zine
C MAG-ni-fy
B MAN-da-rin
C MAR-a-thon
C MAR-i-gold
B MAR-ma-lade
B MED-i-cine
C MEL-o-dy
B MEM-o-ry
B MI-cro-phone
B MI-cro-scope
B MI-cro-wave
C MIN-i-mum
C MON-i-tor
B mos-QUI-to
B MU-si-cal
C MYS-ter-y
C NA-tur-al
C NEC-tar-ine
B NEWS-pa-per
C NUR-ser-y
B OC-to-pus
C OP-er-a
C OR-ches-tra
C OR-gan-ise
C OX-y-gen
B PAD-dle-boat
C PAN-to-mime
B PAR-a-chute
C PAR-a-dise
C PAR-ti-cle
B PAS-sen-ger
B PEL-i-can
B PEP-per-mint
C PER-i-scope
B PHO-to-graph
B pi-A-no
A PINE-ap-ple
C PI-o-neer
B PLAT-y-pus
C POR-cu-pine
C POS-si-ble
C POT-ter-y
B po-TA-to
C PROP-er-ty
B py-JA-mas
C PY-ra-mid
C QUAL-i-ty
C QUAN-ti-ty
B RAIN-for-est
B RASP-ber-ry
B re-CY-cle
B REC-tan-gle
C REM-e-dy
B re-MEM-ber
B RES-tau-rant
C sa-FA-ri
C sa-LA-mi
B SAND-cas-tle
C SAT-el-lite
B SEV-en-teen
B SEV-en-ty
C SKEL-e-ton
B SOME-bo-dy
C SOM-er-sault
B spa-GHET-ti
C SPEC-ta-cle
A STRAW-ber-ry
B SUB-ma-rine
B SUN-flow-er
C SYL-la-ble
C TAM-bou-rine
B TEL-e-phone
B TEL-e-scope
C TER-ri-ble
B THUN-der-storm
B to-MA-to
C tor-NA-do
B TRAM-po-line
B TRI-an-gle
A um-BREL-la
B U-ni-corn
B U-ni-form
C VEG-e-mite
B vi-o-LIN
B vol-CA-no
B WAL-la-by
B WA-ter-fall
B WA-ter-proof
C WHEEL-bar-row
C WIL-der-ness
C WIN-dow-sill
A WON-der-ful
A YES-ter-day

# ---------------------------------------------------------------
# Four syllables (band C by rule)
# ---------------------------------------------------------------
C a-BIL-i-ty
C ac-ci-DEN-tal
C ac-TIV-i-ty
C AL-li-ga-tor
C a-POL-o-gy
C ap-PRE-ci-ate
C a-QUAR-i-um
C ar-ma-DIL-lo
C as-PAR-a-gus
C as-TRON-o-my
C au-to-MA-tic
C av-o-CA-do
C bar-ra-MUN-di
C BEAU-ti-ful-ly
C bi-NOC-u-lars
C bi-OL-o-gy
C BUDG-er-i-gar
C cal-a-MA-ri
C CAL-cu-la-tor
C cas-so-WA-ry
C CAT-er-pil-lar
C CAU-li-flow-er
C cel-e-BRA-tion
C CEN-ti-me-tre
C COM-for-ta-ble
C com-MU-ni-ty
C con-cen-TRA-tion
C con-TIN-u-ous
C con-ver-SA-tion
C CU-ri-ous-ly
C DAN-de-li-on
C dec-o-RA-tion
C DEC-o-ra-tor
C DIC-tion-ar-y
C didg-er-i-DOO
C dis-ap-POINT-ed
C ed-u-CA-tion
C e-LEC-tri-cal
C e-LEC-tron-ic
C EL-e-va-tor
C e-mer-GEN-cy
C en-ter-TAIN-ment
C ES-ca-la-tor
C EV-ery-bo-dy
C ex-PER-i-ment
C ex-plo-RA-tion
C GEN-er-a-tor
C GEN-er-ous-ly
C ge-OG-ra-phy
C gua-ca-MO-le
C HEL-i-cop-ter
C hi-ber-NA-tion
C il-lus-TRA-tion
C im-i-TA-tion
C im-POS-si-ble
C in-CRED-i-ble
C in-de-PEN-dent
C in-for-MA-tion
C IN-ter-est-ing
C in-tro-DUC-tion
C in-vi-TA-tion
C in-VIS-i-ble
C ki-LO-me-tre
C KIN-der-gar-ten
C KOOK-a-bur-ra
C mac-a-RO-ni
C me-CHAN-i-cal
C MO-tor-cy-cle
C mys-TE-ri-ous
C NEC-es-sar-y
C o-RANG-u-tan
C op-er-A-tion
C OP-er-a-tor
C OR-di-nar-y
C pep-per-O-ni
C pho-TOG-ra-pher
C pho-TOG-ra-phy
C pho-to-GRAPH-ic
C pol-li-NA-tion
C prep-a-RA-tion
C pro-FES-sion-al
C RA-di-a-tor
C re-FRIG-er-ate
C rhi-NOC-er-os
C SAL-a-man-der
C SEC-re-tar-y
C sit-u-A-tion
C STA-tion-er-y
C SU-per-he-ro
C SU-per-mar-ket
C ta-RAN-tu-la
C tech-NOL-o-gy
C TEL-e-vi-sion
C TEM-per-a-ture
C tem-po-RAR-y
C un-der-STAND-ing
C un-der-WA-ter
C VEG-e-ta-ble
C vic-TO-ri-ous
C WA-ter-mel-on
C WON-der-ful-ly
